Transaction ID,Type,Internal Amount,Bank Amount,Reconciliation Status,,,,,Metric,Value
164,PAYMENT,2330.64,2330.64,Matched,,,,,,
165,CASH_OUT,419801.4,419801.4,Matched,,,,,,
166,PAYMENT,3020.86,3020.86,Matched,,,,,,
167,PAYMENT,1614.64,1614.64,Matched,,,,,,
168,PAYMENT,8948.03,8948.03,Matched,,,,,,
169,PAYMENT,9164.71,9164.71,Matched,,,,,,
170,CASH_OUT,280877.92,280877.92,Matched,,,,,,
171,CASH_OUT,335416.51,335416.51,Matched,,,,,,
172,PAYMENT,2970.97,2970.97,Matched,,,,,,
173,PAYMENT,38.66,38.66,Matched,,,,,,
174,PAYMENT,3372.29,3372.29,Matched,,,,,,
175,PAYMENT,1084.9,1084.9,Matched,,,,,,
176,PAYMENT,2252.44,2252.44,Matched,,,,,,
177,PAYMENT,9456.69,9456.69,Matched,,,,,,
178,PAYMENT,661.43,661.43,Matched,,,,,,
179,TRANSFER,62610.8,62610.8,Matched,,,,,,
180,DEBIT,5529.13,5529.13,Matched,,,,,,
181,DEBIT,864.68,864.68,Matched,,,,,,
182,CASH_OUT,82940.31,82940.31,Matched,,,,,,
183,PAYMENT,1203.44,1203.44,Matched,,,,,,
184,PAYMENT,5812.36,5812.36,Matched,,,,,,
185,DEBIT,4510.22,4510.22,Matched,,,,,,
186,TRANSFER,157883.07,157883.07,Matched,,,,,,
187,DEBIT,8727.74,8727.74,Matched,,,,,,
188,PAYMENT,2734.77,2734.77,Matched,,,,,,
189,TRANSFER,330757.04,330757.04,Matched,,,,,,
190,PAYMENT,2599.46,2599.46,Matched,,,,,,
191,CASH_OUT,102153.86,102153.86,Matched,,,,,,
192,PAYMENT,584.52,584.52,Matched,,,,,,
193,PAYMENT,6113.14,6113.14,Matched,,,,,,
194,DEBIT,4874.49,4874.49,Matched,,,,,,
195,PAYMENT,6440.78,6440.78,Matched,,,,,,
196,PAYMENT,4910.14,4910.14,Matched,,,,,,
197,CASH_OUT,369989.2,369989.2,Matched,,,,,,
198,PAYMENT,6444.64,6444.64,Matched,,,,,,
199,DEBIT,5149.66,5149.66,Matched,,,,,,
200,PAYMENT,1915.43,1915.43,Duplicate in Bank,,,,,,
201,PAYMENT,8.73,8.73,Matched,,,,,,
202,DEBIT,3058.8,3058.8,Matched,,,,,,
203,CASH_OUT,215338.28,215338.28,Matched,,,,,,
204,CASH_OUT,65521.42,65521.42,Matched,,,,,,
205,CASH_OUT,116977.58,116977.58,Matched,,,,,,
206,PAYMENT,5154.97,5154.97,Matched,,,,,,
207,CASH_OUT,262392.36,262392.36,Matched,,,,,,
208,PAYMENT,5213.25,5213.25,Matched,,,,,,
209,CASH_OUT,51121.05,51121.05,Matched,,,,,,
210,PAYMENT,5392.75,5392.75,Matched,,,,,,
211,PAYMENT,25.12,25.12,Matched,,,,,,
212,PAYMENT,17150.89,17150.89,Matched,,,,,,
213,TRANSFER,679502.24,679502.24,Matched,,,,,,
214,TRANSFER,177652.91,177652.91,Matched,,,,,,
215,PAYMENT,5443.26,5443.26,Matched,,,,,,
216,PAYMENT,7292.16,7292.16,Matched,,,,,,
217,CASH_OUT,47458.86,47458.86,Matched,,,,,,
218,CASH_OUT,136872.92,136872.92,Matched,,,,,,
219,PAYMENT,244.87,244.87,Matched,,,,,,
220,PAYMENT,8281.57,8281.57,Matched,,,,,,
221,PAYMENT,1175.59,1175.59,Matched,,,,,,
222,PAYMENT,1097.74,1097.74,Matched,,,,,,
223,PAYMENT,3605.26,3605.26,Matched,,,,,,
224,TRANSFER,184986.8,184986.8,Matched,,,,,,
225,PAYMENT,624.61,624.61,Matched,,,,,,
226,PAYMENT,3854.92,3854.92,Matched,,,,,,
227,PAYMENT,1718.29,1718.29,Matched,,,,,,
228,TRANSFER,420532.33,420532.33,Matched,,,,,,
229,CASH_OUT,202624.59,202624.59,Matched,,,,,,
230,PAYMENT,4402.86,4402.86,Matched,,,,,,
231,CASH_OUT,147804.02,147804.02,Matched,,,,,,
232,CASH_OUT,118235.16,118235.16,Matched,,,,,,
233,PAYMENT,151.2,151.2,Matched,,,,,,
234,PAYMENT,58.21,58.21,Matched,,,,,,
235,CASH_OUT,118056.71,118056.71,Matched,,,,,,
236,PAYMENT,5936.82,5936.82,Matched,,,,,,
237,CASH_OUT,145944.67,145944.67,Matched,,,,,,
238,CASH_OUT,498960.91,498960.91,Matched,,,,,,
239,TRANSFER,7206.33,7206.33,Matched,,,,,,
240,DEBIT,5581.55,5581.55,Matched,,,,,,
241,CASH_OUT,691738.36,691738.36,Matched,,,,,,
242,DEBIT,5853.21,5853.21,Matched,,,,,,
243,PAYMENT,2528.1,2528.1,Matched,,,,,,
244,PAYMENT,5655.17,5655.17,Matched,,,,,,
245,PAYMENT,1456.09,1456.09,Matched,,,,,,
246,CASH_OUT,58820.08,58820.08,Matched,,,,,,
247,PAYMENT,4419.04,4419.04,Matched,,,,,,
248,PAYMENT,4252.82,4252.82,Matched,,,,,,
249,PAYMENT,4270.02,4270.02,Matched,,,,,,
250,TRANSFER,276460.62,276460.62,Matched,,,,,,
251,PAYMENT,8811.67,8811.67,Matched,,,,,,
252,PAYMENT,3007.83,3007.83,Matched,,,,,,
253,PAYMENT,12666.68,12666.68,Matched,,,,,,
254,CASH_OUT,95636.49,95636.49,Matched,,,,,,
255,CASH_OUT,195314.34,195314.34,Matched,,,,,,
256,PAYMENT,1824.59,1824.59,Matched,,,,,,
257,PAYMENT,6049.09,6049.09,Matched,,,,,,
258,PAYMENT,993.46,993.46,Matched,,,,,,
259,CASH_OUT,302693.14,302693.14,Matched,,,,,,
260,PAYMENT,1445.06,1445.06,Matched,,,,,,
261,PAYMENT,14306.8,14306.8,Matched,,,,,,
262,PAYMENT,1117.34,1117.34,Matched,,,,,,
263,PAYMENT,3671.32,3671.32,Matched,,,,,,
264,DEBIT,3179.7,3179.7,Matched,,,,,,
265,PAYMENT,2880.68,2880.68,Matched,,,,,,
266,DEBIT,3580.26,3580.26,Matched,,,,,,
267,PAYMENT,4059.25,4059.25,Matched,,,,,,
268,PAYMENT,3060.54,3060.54,Matched,,,,,,
269,PAYMENT,879.42,879.42,Matched,,,,,,
270,PAYMENT,8550.9,8550.9,Matched,,,,,,
271,PAYMENT,3417.18,3417.18,Matched,,,,,,
272,PAYMENT,3486.78,3486.78,Matched,,,,,,
273,PAYMENT,9753.55,9753.55,Matched,,,,,,
274,PAYMENT,21530.96,21530.96,Matched,,,,,,
275,DEBIT,3428.95,3428.95,Matched,,,,,,
276,PAYMENT,2426.31,2426.31,Matched,,,,,,
277,PAYMENT,3026.98,3026.98,Matched,,,,,,
278,PAYMENT,5580.98,5580.98,Matched,,,,,,
279,PAYMENT,5110.1,5110.1,Matched,,,,,,
280,PAYMENT,207.75,207.75,Matched,,,,,,
281,PAYMENT,18437.04,18437.04,Matched,,,,,,
282,PAYMENT,8690.69,8690.69,Matched,,,,,,
283,CASH_OUT,467177.03,467177.03,Matched,,,,,,
284,PAYMENT,4946.03,4946.03,Matched,,,,,,
285,PAYMENT,5432.09,5432.09,Matched,,,,,,
286,PAYMENT,7649.41,7649.41,Matched,,,,,,
287,DEBIT,3455.85,3455.85,Matched,,,,,,
288,PAYMENT,3943.17,3943.17,Matched,,,,,,
289,DEBIT,3875.99,3875.99,Matched,,,,,,
290,PAYMENT,3101.33,3101.33,Matched,,,,,,
291,PAYMENT,7265.63,7265.63,Matched,,,,,,
292,PAYMENT,2148.89,2148.89,Matched,,,,,,
293,TRANSFER,51719.13,51719.13,Matched,,,,,,
294,PAYMENT,13465.91,13465.91,Matched,,,,,,
295,PAYMENT,3852.64,3852.64,Matched,,,,,,
296,PAYMENT,466.97,466.97,Matched,,,,,,
297,PAYMENT,19561.05,19561.05,Matched,,,,,,
298,CASH_OUT,154139.72,154139.72,Matched,,,,,,
299,PAYMENT,9762.28,9762.28,Matched,,,,,,
300,CASH_OUT,82685.93,82685.93,Duplicate in Bank,,,,,,
301,PAYMENT,7870.29,7870.29,Matched,,,,,,
302,PAYMENT,9778.81,9778.81,Matched,,,,,,
303,DEBIT,12872.92,12872.92,Matched,,,,,,
304,PAYMENT,6675.34,6675.34,Matched,,,,,,
305,CASH_OUT,562903.81,562903.81,Matched,,,,,,
306,CASH_OUT,83857.23,83857.23,Matched,,,,,,
307,PAYMENT,5055.94,5055.94,Matched,,,,,,
308,PAYMENT,2858.89,2858.89,Matched,,,,,,
309,CASH_OUT,99109.77,99109.77,Matched,,,,,,
310,PAYMENT,8531.42,8531.42,Matched,,,,,,
311,PAYMENT,84.22,84.22,Matched,,,,,,
312,CASH_OUT,410201.89,410201.89,Matched,,,,,,
313,PAYMENT,13310.78,13310.78,Matched,,,,,,
314,CASH_OUT,187726.67,187726.67,Matched,,,,,,
315,PAYMENT,664.35,664.35,Matched,,,,,,
316,CASH_OUT,281339.92,281339.92,Matched,,,,,,
317,CASH_OUT,227478.01,227478.01,Matched,,,,,,
318,PAYMENT,5033.02,5033.02,Matched,,,,,,
319,CASH_OUT,186447.51,186447.51,Matched,,,,,,
320,TRANSFER,100588.8,100588.8,Matched,,,,,,
321,PAYMENT,9374.72,9374.72,Matched,,,,,,
322,CASH_OUT,81029.86,81029.86,Matched,,,,,,
323,PAYMENT,598.24,598.24,Matched,,,,,,
324,PAYMENT,4531.55,4531.55,Matched,,,,,,
325,CASH_OUT,139054.95,139054.95,Matched,,,,,,
326,PAYMENT,2998.2,2998.2,Matched,,,,,,
327,PAYMENT,2130.3,2130.3,Matched,,,,,,
328,CASH_OUT,154716.2,154716.2,Matched,,,,,,
329,CASH_OUT,53631.83,53631.83,Matched,,,,,,
330,PAYMENT,9269.99,9269.99,Matched,,,,,,
331,PAYMENT,1209.64,1209.64,Matched,,,,,,
332,PAYMENT,1298.7,1298.7,Matched,,,,,,
333,PAYMENT,7771.4,7771.4,Matched,,,,,,
334,CASH_OUT,289645.52,289645.52,Matched,,,,,,
335,PAYMENT,7797,7797,Matched,,,,,,
336,PAYMENT,5831.03,5831.03,Matched,,,,,,
337,CASH_OUT,267148.82,267148.82,Matched,,,,,,
338,CASH_OUT,47913.58,47913.58,Matched,,,,,,
339,PAYMENT,36349.35,36349.35,Matched,,,,,,
340,PAYMENT,7067.9,7067.9,Matched,,,,,,
341,PAYMENT,14895.51,14895.51,Matched,,,,,,
342,PAYMENT,749.34,749.34,Matched,,,,,,
343,PAYMENT,2340.34,2340.34,Matched,,,,,,
344,PAYMENT,3316.21,3316.21,Matched,,,,,,
345,CASH_OUT,193605.38,193605.38,Matched,,,,,,
346,PAYMENT,9686.85,9686.85,Matched,,,,,,
347,PAYMENT,22276,22276,Matched,,,,,,
348,CASH_OUT,344464.4,344464.4,Matched,,,,,,
349,PAYMENT,16505.51,16505.51,Matched,,,,,,
350,PAYMENT,15785.85,15785.85,Matched,,,,,,
351,PAYMENT,636.95,636.95,Matched,,,,,,
352,CASH_OUT,169409.87,169409.87,Matched,,,,,,
353,PAYMENT,9006.78,9006.78,Matched,,,,,,
354,PAYMENT,2056.59,2056.59,Matched,,,,,,
355,PAYMENT,9014.95,9014.95,Matched,,,,,,
356,PAYMENT,704.74,704.74,Matched,,,,,,
357,CASH_OUT,25793.74,25793.74,Matched,,,,,,
358,PAYMENT,14420.66,14420.66,Matched,,,,,,
359,PAYMENT,4802.31,4802.31,Matched,,,,,,
360,PAYMENT,3222.32,3222.32,Matched,,,,,,
361,PAYMENT,11889.61,11889.61,Matched,,,,,,
362,PAYMENT,28527.44,28527.44,Matched,,,,,,
363,CASH_OUT,114712.48,114712.48,Matched,,,,,,
364,PAYMENT,9491.89,9491.89,Matched,,,,,,
365,PAYMENT,4182.93,4182.93,Matched,,,,,,
366,PAYMENT,4088.21,4088.21,Matched,,,,,,
367,PAYMENT,6131.21,6131.21,Matched,,,,,,
368,CASH_OUT,89038.75,89038.75,Matched,,,,,,
369,PAYMENT,11938.61,11938.61,Matched,,,,,,
370,CASH_OUT,1341.58,1341.58,Matched,,,,,,
371,PAYMENT,4233.45,4233.45,Matched,,,,,,
372,CASH_OUT,44443.08,44443.08,Matched,,,,,,
373,PAYMENT,32643.79,32643.79,Matched,,,,,,
374,PAYMENT,8491.9,8491.9,Matched,,,,,,
375,CASH_OUT,34729.64,34729.64,Matched,,,,,,
376,DEBIT,6666.78,6666.78,Matched,,,,,,
377,CASH_OUT,105979.34,105979.34,Matched,,,,,,
378,PAYMENT,6536.86,6536.86,Matched,,,,,,
379,PAYMENT,622.15,622.15,Matched,,,,,,
380,CASH_OUT,40684.97,40684.97,Matched,,,,,,
381,CASH_OUT,57794.61,57794.61,Matched,,,,,,
382,PAYMENT,4573.12,4573.12,Matched,,,,,,
383,PAYMENT,1553.21,1553.21,Matched,,,,,,
384,DEBIT,7344.92,7344.92,Matched,,,,,,
385,CASH_OUT,15918.79,15918.79,Matched,,,,,,
386,CASH_OUT,19162.08,19162.08,Matched,,,,,,
387,CASH_OUT,220691.42,220691.42,Matched,,,,,,
388,CASH_OUT,106267.21,106267.21,Matched,,,,,,
389,CASH_OUT,9536.54,9536.54,Matched,,,,,,
390,CASH_OUT,29784.06,29784.06,Matched,,,,,,
391,PAYMENT,5491.5,5491.5,Matched,,,,,,
392,CASH_OUT,190445.51,190445.51,Matched,,,,,,
393,PAYMENT,3666.42,3666.42,Matched,,,,,,
394,PAYMENT,5507.18,5507.18,Matched,,,,,,
395,DEBIT,4565.14,4565.14,Matched,,,,,,
396,PAYMENT,6057.8,6057.8,Matched,,,,,,
397,CASH_OUT,57279.11,57279.11,Matched,,,,,,
398,PAYMENT,5770.32,5770.32,Matched,,,,,,
399,CASH_OUT,112086.81,112086.81,Matched,,,,,,
400,PAYMENT,9152.97,9152.97,Matched,,,,,,
401,CASH_OUT,80311.89,80311.89,Matched,,,,,,
402,DEBIT,12154.7,12154.7,Matched,,,,,,
403,CASH_OUT,151829.91,151829.91,Matched,,,,,,
404,PAYMENT,8378.01,8378.01,Matched,,,,,,
405,CASH_OUT,26004.52,26004.52,Matched,,,,,,
406,CASH_OUT,3146.16,3146.16,Matched,,,,,,
407,PAYMENT,11348.71,11348.71,Matched,,,,,,
408,PAYMENT,9616.45,9616.45,Matched,,,,,,
409,TRANSFER,123179.97,123179.97,Matched,,,,,,
410,CASH_OUT,296752.75,296752.75,Matched,,,,,,
411,PAYMENT,7073.6,7073.6,Matched,,,,,,
412,PAYMENT,2231.28,2231.28,Matched,,,,,,
413,PAYMENT,4932.54,4932.54,Matched,,,,,,
414,CASH_OUT,191702.06,191702.06,Matched,,,,,,
415,CASH_IN,65413.89,65413.89,Matched,,,,,,
416,PAYMENT,2803.83,2803.83,Matched,,,,,,
417,CASH_IN,98560.08,98560.08,Matched,,,,,,
418,CASH_OUT,365510.05,365510.05,Matched,,,,,,
419,CASH_IN,15054.61,15054.61,Matched,,,,,,
420,PAYMENT,106.81,106.81,Matched,,,,,,
421,CASH_IN,161632.16,161632.16,Matched,,,,,,
422,CASH_OUT,202332.08,202332.08,Matched,,,,,,
423,PAYMENT,6297.71,6297.71,Matched,,,,,,
424,CASH_OUT,55105.9,55105.9,Matched,,,,,,
425,CASH_IN,47529.19,47529.19,Matched,,,,,,
426,CASH_OUT,171508.59,171508.59,Matched,,,,,,
427,CASH_IN,9577.45,9577.45,Matched,,,,,,
428,CASH_OUT,178439.26,178439.26,Matched,,,,,,
429,CASH_IN,414238.59,414238.59,Matched,,,,,,
430,CASH_OUT,88834.86,88834.86,Matched,,,,,,
431,CASH_IN,89327.65,89327.65,Matched,,,,,,
432,CASH_IN,194900.16,194900.16,Matched,,,,,,
433,PAYMENT,2610.01,2610.01,Matched,,,,,,
434,PAYMENT,5320.1,5320.1,Matched,,,,,,
435,CASH_IN,24470.43,24470.43,Matched,,,,,,
436,CASH_OUT,210370.09,210370.09,Matched,,,,,,
437,CASH_IN,217668.38,217668.38,Matched,,,,,,
438,PAYMENT,1460.63,1460.63,Matched,,,,,,
439,CASH_OUT,36437.06,36437.06,Matched,,,,,,
440,TRANSFER,522264.81,522264.81,Matched,,,,,,
441,CASH_OUT,82691.56,82691.56,Matched,,,,,,
442,CASH_IN,9067.51,9067.51,Matched,,,,,,
443,CASH_IN,336827.91,336827.91,Matched,,,,,,
444,CASH_IN,45317.95,45317.95,Matched,,,,,,
445,CASH_IN,230021.01,230021.01,Matched,,,,,,
446,DEBIT,3584.21,3584.21,Matched,,,,,,
447,CASH_OUT,338767.1,338767.1,Matched,,,,,,
448,PAYMENT,3704.97,3704.97,Matched,,,,,,
449,TRANSFER,2545478.01,2545478.01,Matched,,,,,,
450,PAYMENT,2773.61,2773.61,Matched,,,,,,
451,PAYMENT,3896.42,3896.42,Matched,,,,,,
452,TRANSFER,2061082.82,2061082.82,Matched,,,,,,
453,PAYMENT,18781.84,18781.84,Matched,,,,,,
454,TRANSFER,983479.66,983479.66,Matched,,,,,,
455,CASH_OUT,187728.59,187728.59,Matched,,,,,,
456,PAYMENT,6660.33,6660.33,Matched,,,,,,
457,CASH_OUT,271002.7,271002.7,Matched,,,,,,
458,TRANSFER,26923.42,26923.42,Matched,,,,,,
459,CASH_OUT,323105.08,323105.08,Matched,,,,,,
460,TRANSFER,635507.97,635507.97,Matched,,,,,,
461,TRANSFER,848231.57,848231.57,Matched,,,,,,
462,TRANSFER,739112.93,739112.93,Matched,,,,,,
463,CASH_OUT,10782.94,10782.94,Matched,,,,,,
464,CASH_OUT,89962.11,89962.11,Matched,,,,,,
465,CASH_OUT,101940.14,101940.14,Matched,,,,,,
466,CASH_IN,154578.28,154578.28,Matched,,,,,,
467,CASH_OUT,163100.34,163100.34,Matched,,,,,,
468,CASH_IN,314134.01,314134.01,Matched,,,,,,
469,CASH_OUT,136030.66,136030.66,Matched,,,,,,
470,CASH_IN,206405.92,206405.92,Matched,,,,,,
471,CASH_OUT,68912.23,68912.23,Matched,,,,,,
472,CASH_OUT,73464.06,73464.06,Matched,,,,,,
473,CASH_IN,158995.29,158995.29,Matched,,,,,,
474,CASH_IN,188238.54,188238.54,Matched,,,,,,
475,CASH_IN,21255.8,21255.8,Matched,,,,,,
476,CASH_IN,205955.77,205955.77,Matched,,,,,,
